"metro","cbsa","TReturns13","tnew13","eitc13","eitcamt13","tchildret_13","tchildamt_13","taddchildret_13","taddchildamt_13","ttf2441_13","ttedcr_13","ttsld_13","trefund13","TREFAM13","ttbal13","ttsumbal13","ttdirdep_13","ttral_13","ttrac_13","ttself13","ttpaid13","TTtotvol13","TT1040_13","TT1040A_13","TT1040ez_13","ITIN13","ttcef13","yr13ttagi_0","yr13ttagi_5","yr13ttagi_10","yr13ttagi_15","yr13ttagi_20","yr13ttagi_25","yr13ttagi_30","yr13ttagi_35","yr13ttagi_40","yr13ttagi_50","yr13ttagi_60","yr13ttagi_75","yr13ttagi_1x","ERETURN13","ENEW13","EEIC13","EEICAM13","EQC0_13","EQC0AMT_13","EQC1_13","EQC1AMT_13","EQC2_13","EQC2AMT_13","EQC3_13","EQC3AMT_13","ECTC13","ECTCAM13","EACTC13","EACTCAM13","ECDCTC13","EEDCR13","ESLD13","EREF13","EREFAM13","EBAL13","EBALAM13","EDIRDP13","ERAL13","ERAC13","ESELF13","EPAID13","EVOL13","E1040_13","E1040A_13","E1040Z_13","ECEF13","EAGI0_13","EAGI5_13","EAGI10_13","EAGI15_13","EAGI20_13","EAGI25_13","EAGI30_13","EAGI35_13","EAGI40_13","EAGI50_13"
"Chicago-Naperville-Elgin, IL-IN-WI","=""16980""","4,203,805","154,909","742,756","1,849,037,173","630,507","756,394,775","598,483","838,960,212","183,816","330,150","371,158","3,389,485","9,925,703,992","628,399","3,442,759,748","2,774,283",229,"589,538","1,806,879","2,324,581","72,015","2,939,138","750,627","505,982","204,646","1,011,662","359,942","334,873","345,684","307,118","265,573","235,986","211,178","186,380","311,650","256,559","306,264","373,470","706,418","742,756","20,169","742,756","1,849,037,173","172,438","48,290,673","268,170","630,831,622","203,636","766,709,792","96,507","400,824,220","165,403","115,586,467","440,701","568,102,761","48,148","45,776","36,010","707,513","3,017,476,103","34,766","29,968,492","626,468",38,"267,482","312,486","414,235","14,877","450,730","242,689","48,715","228,916","62,776","130,574","170,700","102,176","77,474","67,777","58,399","40,266","29,125",220
"Chico, CA","=""17020""","81,562","2,867","17,373","37,331,487","12,266","14,872,476","10,950","13,907,699","2,716","4,398","5,182","60,819","143,976,954","15,610","64,207,082","46,334",0,"12,099","35,025","44,760","1,749","51,221","18,378","11,911","1,438","20,953","6,771","7,925","7,764","7,071","5,733","5,076","4,508","3,810","6,138","4,794","5,549","6,839","9,304","17,373",375,"17,373","37,331,487","4,963","1,391,049","6,036","13,361,164","4,027","13,825,087","2,217","8,506,935","4,352","3,118,885","9,402","11,520,074",567,503,798,"16,505","59,287,087",833,"767,230","13,432",0,"6,071","7,819","9,104",379,"7,778","7,581","1,944","3,493","1,971","3,390","3,369","2,144","1,681","1,530","1,300",938,802,0
"Cincinnati, OH-KY-IN","=""17140""","954,567","30,460","164,949","390,308,328","156,886","202,422,018","114,012","151,570,682","35,282","65,468","91,500","769,937","1,985,859,299","148,164","615,263,205","609,455",609,"154,580","496,917","437,840","19,592","650,152","176,081","126,899","9,532","193,859","81,197","76,339","76,556","68,601","61,075","56,191","51,154","45,057","76,015","60,942","72,207","88,246","139,582","164,949","2,301","164,949","390,308,328","38,726","10,555,728","60,482","135,083,245","42,947","154,449,879","22,318","89,198,854","41,997","31,477,273","97,968","123,380,753","7,763","8,036","9,637","160,386","673,611,351","4,322","3,975,509","142,432",377,"69,947","89,071","71,504","3,940","87,337","63,986","13,314","31,989","17,247","28,788","35,383","21,265","16,627","14,807","13,102","9,074","7,228",38
"Clarksville, TN-KY","=""17300""","109,788","3,789","31,464","81,747,007","21,646","25,457,756","23,723","32,883,768","5,578","8,557","10,006","94,427","285,198,923","12,427","44,275,775","84,523",22,"25,581","54,247","48,313","7,212","61,710","31,379","16,676",597,"20,582","7,824","9,851","11,178","10,668","9,705","8,343","6,700","6,042","9,323","6,882","7,520","7,829","7,787","31,464",320,"31,464","81,747,007","5,417","1,507,097","11,791","27,321,175","9,220","33,204,757","4,950","19,550,157","8,819","6,394,841","21,772","30,352,906","2,095","1,672","2,387","30,924","153,947,582",468,"464,910","29,176",16,"13,618","16,112","13,532","1,744","14,770","14,658","2,003","5,113","2,282","4,487","5,994","4,281","3,540","3,545","2,767","2,278","1,972",36
"Cleveland, TN","=""17420""","48,328","1,619","11,863","28,000,720","8,559","10,033,403","8,771","12,680,356","1,243","2,801","2,925","40,844","109,512,519","5,859","18,840,132","34,651",67,"9,207","20,773","26,468","1,041","27,874","12,684","7,734","1,356","10,108","4,259","4,545","4,757","4,373","3,931","3,530","2,921","2,405","3,755","2,939","3,283","3,636","3,876","11,863",116,"11,863","28,000,720","2,837","799,744","4,391","10,083,418","3,091","11,161,086","1,459","5,830,360","2,950","2,135,207","7,044","8,981,686",305,417,415,"11,463","47,893,858",361,"349,605","10,374",32,"4,850","4,898","6,670",239,"5,958","4,774","1,106","2,778","1,175","2,044","2,449","1,549","1,210","1,090",861,708,582,11
"Cleveland-Elyria, OH","=""17460""","960,533","29,022","172,620","420,408,463","131,265","163,488,795","110,068","138,660,743","30,739","70,045","82,902","769,042","1,927,399,745","147,470","676,208,228","594,700",326,"135,765","468,684","463,131","28,630","660,250","177,410","121,804","3,091","198,546","84,442","80,284","83,571","72,810","63,915","58,336","53,188","46,793","81,130","63,369","73,151","82,456","116,467","172,620","3,110","172,620","420,408,463","41,932","11,457,856","63,690","148,221,060","45,169","169,717,624","21,639","90,645,604","38,128","27,487,049","100,852","126,847,416","8,680","10,006","8,917","167,451","694,405,918","5,035","4,025,335","147,477",128,"66,447","96,842","70,233","5,356","91,871","66,974","13,659","37,845","16,947","31,603","40,240","23,462","17,685","14,944","12,618","8,287","6,021",11
"Coeur d'Alene, ID","=""17660""","61,792","2,107","12,071","26,256,239","10,478","13,827,096","7,795","10,455,363","2,499","4,197","5,416","47,036","110,743,982","10,968","42,524,334","38,425",70,"9,438","30,473","26,608","4,702","42,027","11,092","8,662",71,"16,052","5,592","5,429","5,401","4,985","4,545","4,003","3,232","2,788","4,872","4,155","4,954","5,424","6,360","12,071",85,"12,071","26,256,239","3,167","889,220","4,227","9,241,861","2,849","9,366,859","1,812","6,700,327","3,337","2,538,762","6,810","9,020,353",720,557,858,"11,529","43,208,096",506,"487,037","10,210",35,"4,240","6,815","4,242",996,"6,547","4,504",984,"2,780","1,284","1,963","2,207","1,422","1,243","1,180",983,764,850,14
"College Station-Bryan, TX","=""17780""","82,857","4,326","17,841","46,245,638","13,747","16,538,831","14,082","19,175,199","4,138","6,215","6,767","67,601","181,266,369","11,980","65,687,966","54,162",0,"15,304","46,164","34,423","2,193","47,721","19,268","13,997","3,127","21,479","8,076","8,031","8,101","7,349","6,660","5,264","4,303","3,630","5,590","4,216","5,083","6,166","9,941","17,841",384,"17,841","46,245,638","3,606","1,033,750","6,526","15,287,074","4,941","18,569,094","2,630","11,040,491","4,745","3,328,734","11,468","14,984,941","1,100",751,790,"17,425","78,426,709",376,"383,288","15,252",0,"8,051","8,938","8,304",494,"8,851","7,646","1,240","3,709","1,420","2,909","3,721","2,574","2,282","1,605","1,359",926,748,0
"Colorado Springs, CO","=""17820""","281,789","9,601","52,558","121,376,662","50,575","65,197,269","38,953","54,630,824","11,801","24,907","29,776","221,628","572,745,042","49,300","178,166,926","190,027",0,"46,954","155,714","115,669","10,352","186,370","57,105","38,158","3,191","69,336","20,776","21,173","22,578","20,698","19,933","18,353","15,733","13,828","22,150","17,619","21,450","26,040","41,215","52,558",633,"52,558","121,376,662","11,756","3,252,855","18,511","40,220,394","13,838","47,090,021","8,040","29,998,956","15,522","11,575,725","32,818","45,367,214","3,120","3,121","4,442","50,877","218,898,287","1,553","1,471,322","46,210",0,"20,281","29,429","20,585","2,359","27,316","21,213","3,845","10,872","4,584","7,809","9,252","5,914","5,638","5,897","5,095","3,845","3,550",61
"Columbia, MO","=""17860""","70,297","2,390","11,880","25,217,849","10,770","13,911,004","7,477","9,507,750","3,967","6,142","9,022","55,065","126,186,040","11,916","49,716,697","43,401",0,"9,044","36,021","30,637","3,623","44,350","15,362","9,894",424,"16,107","6,859","6,456","5,812","5,077","4,779","4,394","3,815","3,216","5,200","4,139","5,107","6,105","9,280","11,880",190,"11,880","25,217,849","3,401","919,691","4,181","9,018,890","2,891","10,055,138","1,328","5,146,622","3,060","2,277,306","6,598","8,265,638",814,689,924,"11,530","44,232,814",324,"283,663","9,898",0,"4,386","6,418","4,636",789,"5,461","5,342","1,041","2,057","1,370","2,128","2,469","1,354","1,199","1,051",962,641,577,0
"Columbia, SC","=""17900""","320,647","9,890","77,643","192,742,555","53,066","61,335,877","55,269","72,567,806","19,077","25,524","30,013","255,246","655,017,812","55,037","199,100,742","209,692",589,"74,535","153,655","159,861","7,068","211,517","69,404","39,261","3,995","69,300","25,281","27,527","30,168","27,550","24,932","22,091","18,605","15,798","25,041","19,071","21,788","25,637","36,608","77,643",984,"77,643","192,742,555","15,933","4,370,089","31,056","71,780,499","21,684","80,611,595","8,677","35,454,831","18,838","13,007,401","48,423","60,464,633","6,350","5,168","4,278","75,734","311,185,599","1,826","1,546,797","69,027",489,"40,093","36,869","39,113","1,483","41,915","30,396","5,209","15,971","6,228","12,705","16,646","11,155","9,344","7,765","6,202","4,023","2,942",0
"Columbus, GA-AL","=""17980""","126,633","4,284","42,872","120,080,660","19,747","21,286,746","29,778","39,437,257","7,368","13,828","7,664","109,315","351,123,639","14,206","53,981,700","97,011",1,"46,680","42,654","77,631","6,318","89,684","24,922","11,964",921,"29,320","7,913","11,984","15,990","14,518","11,467","9,427","7,349","6,185","9,424","6,782","7,381","7,844","10,202","42,872",590,"42,872","120,080,660","7,110","1,991,141","17,826","44,868,384","13,041","52,683,469","4,679","20,200,065","8,431","5,630,902","27,408","35,864,985","3,189","3,591","1,392","42,332","203,512,309",468,"459,244","40,174",0,"27,802","11,789","29,242","1,743","28,460","12,586","1,750","11,837","2,101","6,809","10,877","7,430","4,842","3,953","2,828","2,052","1,587",17
"Columbus, IN","=""18020""","37,403","1,302","5,784","12,504,538","7,276","8,967,528","5,257","9,218,109","1,350","2,273","2,969","30,641","83,935,970","5,148","24,871,862","25,095",0,"6,432","18,346","18,171",876,"24,840","7,715","4,585","2,303","7,136","3,463","3,121","2,750","2,420","2,235","2,210","2,118","1,837","2,864","2,536","3,207","3,529","4,911","5,784",87,"5,784","12,504,538","1,391","384,978","2,186","4,795,095","1,380","4,527,401",703,"2,570,127","1,588","1,244,837","3,287","3,928,217",237,198,270,"5,640","23,226,336",127,"133,505","5,120",0,"2,725","2,871","2,723",149,"3,079","2,230",436,838,645,"1,053","1,091",642,523,514,434,357,331,0
"Columbus, OH","=""18140""","890,145","30,197","160,741","392,322,967","143,906","178,444,234","112,743","150,764,162","37,332","64,173","98,178","721,683","1,843,553,967","138,317","610,021,550","594,912","1,040","143,762","480,605","389,780","19,556","596,781","171,272","119,875","10,969","192,147","70,788","68,962","71,832","64,738","59,266","54,476","49,954","44,227","74,306","58,728","68,267","81,369","121,610","160,741","3,289","160,741","392,322,967","37,096","10,166,705","58,215","132,484,911","42,559","156,302,426","22,326","92,224,493","40,512","29,670,871","97,527","126,187,816","8,174","8,401","9,540","155,700","653,042,264","4,821","4,280,318","138,702",753,"65,420","86,641","69,917","3,739","85,782","62,130","12,455","38,079","15,956","27,412","34,953","21,124","16,800","14,903","12,535","8,661","6,761",11
"Corpus Christi, TX","=""18580""","178,427","6,755","48,550","127,624,830","32,101","38,776,981","33,779","43,476,828","7,505","12,078","10,727","151,585","459,088,478","21,741","108,368,023","125,618",111,"38,445","91,764","82,568","4,043","102,564","45,805","29,955","1,726","37,843","14,062","16,464","18,223","16,719","14,037","11,606","9,612","8,244","13,743","10,892","12,307","13,749","18,556","48,550",743,"48,550","127,624,830","9,683","2,781,529","17,937","42,324,196","14,144","54,515,577","6,571","27,580,173","12,431","8,897,322","30,964","39,850,628","2,401","1,833","1,566","47,401","215,209,126","1,064","980,773","42,262",63,"20,295","24,194","23,193","1,037","24,070","20,628","3,739","10,242","3,669","8,107","10,676","7,490","5,565","4,575","3,583","2,355","1,826",0
"Corvallis, OR","=""18700""","33,936","1,323","4,423","7,323,006","4,063","5,448,286","2,455","3,261,083","1,145","3,341","3,659","24,811","52,979,309","6,880","25,396,524","19,273",0,"3,343","20,023","12,375","1,535","22,751","5,982","4,860",496,"9,261","3,548","3,162","2,641","2,391","2,152","1,695","1,489","1,305","2,275","1,898","2,444","3,163","5,739","4,423",54,"4,423","7,323,006","1,952","535,756","1,249","2,621,548",791,"2,563,062",407,"1,526,547",826,"635,540","1,849","2,343,919",179,323,474,"4,225","12,579,580",180,"142,541","3,553",0,"1,138","2,916","1,188",306,"2,180","1,694",534,902,773,938,940,370,341,288,266,226,191,0
"Crestview-Fort Walton Beach-Destin, FL","=""18880""","112,125","3,239","22,458","52,899,847","17,003","20,210,644","15,513","20,424,112","4,886","6,782","6,501","88,992","236,079,167","18,257","84,260,345","76,604",62,"16,443","61,460","43,998","6,640","69,095","25,182","17,800","1,033","27,543","8,515","8,721","9,702","9,582","9,127","7,622","6,516","5,308","8,463","6,845","8,063","9,570","13,981","22,458",201,"22,458","52,899,847","5,287","1,487,106","8,448","19,273,443","5,695","20,263,981","2,934","11,737,970","6,041","4,328,471","13,709","17,719,326","1,710",774,951,"21,660","92,866,149",756,"717,600","19,755",40,"8,430","12,281","9,275",846,"11,673","8,749","1,959","5,453","1,982","3,766","4,563","2,888","2,433","2,138","1,875","1,358","1,245",13
"Cumberland, MD-WV","=""19060""","40,723","1,051","8,110","17,651,186","6,183","7,730,332","4,802","5,797,703","1,081","2,079","2,624","34,262","84,519,366","4,776","11,012,238","25,975",0,"5,985","15,508","23,003","2,124","27,990","7,750","4,897",36,"7,444","3,336","3,578","4,046","3,706","3,160","2,449","2,070","1,882","3,146","2,700","3,287","3,628","3,363","8,110",51,"8,110","17,651,186","2,210","584,312","3,021","6,798,897","1,843","6,490,927",909,"3,522,183","1,991","1,491,130","4,479","5,402,124",191,193,247,"7,892","32,077,606",145,"147,349","6,762",0,"2,922","3,160","4,361",479,"4,903","2,527",544,"1,353",803,"1,357","1,775","1,102",762,599,466,391,371,0
"Dallas-Fort Worth-Arlington, TX","=""19100""","2,770,247","118,604","604,693","1,571,458,997","512,035","604,969,569","514,165","735,469,494","148,571","226,120","216,920","2,257,337","6,717,260,380","427,296","2,174,623,789","1,905,181","1,910","572,687","1,395,366","1,328,897","45,525","1,744,588","624,736","396,005","166,206","756,108","204,213","213,257","235,752","226,984","196,743","177,032","157,148","134,812","223,024","167,348","186,295","225,065","420,241","604,693","16,426","604,693","1,571,458,997","117,816","33,698,600","225,290","529,286,686","175,354","658,449,944","84,781","347,408,482","163,466","117,721,213","387,062","518,072,813","41,173","36,046","24,585","583,387","2,663,586,342","20,814","21,024,748","525,662","1,216","273,268","250,100","344,504","9,264","332,608","231,476","39,928","181,202","40,662","91,386","125,663","91,319","69,813","62,979","53,580","36,989","28,158",440
"Dalton, GA","=""19140""","52,019","2,310","16,480","43,416,673","11,540","12,147,108","14,812","22,512,501","1,949","2,820","1,992","44,295","131,119,362","6,392","28,693,664","36,568",0,"13,082","19,761","31,358",876,"29,039","15,941","7,022","4,846","9,530","3,787","4,667","5,163","4,673","4,813","4,973","4,173","3,098","4,215","3,024","3,150","2,880","3,210","16,480",347,"16,480","43,416,673","2,524","734,736","6,215","14,035,287","4,954","17,686,924","2,746","10,849,208","5,307","3,774,833","11,304","15,617,559",741,522,311,"16,110","72,558,263",348,"334,764","14,508",0,"7,662","5,862","10,400",182,"8,023","7,507",920,"3,065",974,"2,169","2,965","2,097","2,057","2,176","1,764","1,147",940,30
"Danville, IL","=""19180""","33,179","1,000","8,068","20,942,202","5,436","6,622,116","5,524","7,096,077","1,079","1,623","1,691","27,617","76,242,996","4,165","21,365,779","22,834",0,"6,866","12,516","19,636","1,000","20,318","8,040","4,794",141,"7,478","2,775","3,038","3,459","2,853","2,395","2,139","1,893","1,657","2,562","2,095","2,537","2,730","2,745","8,068",96,"8,068","20,942,202","1,498","397,786","2,928","6,696,371","2,244","8,297,432","1,288","5,286,669","2,078","1,541,986","5,167","6,581,343",309,205,179,"7,889","35,851,053",119,"144,400","7,297",0,"3,984","3,490","4,298",216,"3,919","3,503",539,"1,683",665,"1,261","1,821","1,090",818,665,558,373,324,0
"Daphne-Fairhope-Foley, AL","=""19300""","78,978","2,428","16,467","42,195,897","12,554","15,383,098","11,520","14,969,994","3,770","4,515","5,452","60,193","160,670,428","14,369","75,250,050","50,515",15,"15,323","37,939","39,434","1,547","53,776","15,364","9,822",688,"21,507","6,292","6,632","7,285","6,751","5,725","4,707","3,974","3,446","5,829","4,708","5,786","6,974","10,764","16,467",177,"16,467","42,195,897","3,353","936,664","6,511","15,473,158","4,607","17,801,822","1,855","7,777,887","3,954","2,791,998","10,151","12,825,751",963,638,723,"15,912","67,739,851",508,"499,690","14,547",11,"7,603","8,577","7,673",135,"9,262","6,056","1,089","4,555","1,243","2,678","3,694","2,576","1,877","1,457","1,166",799,637,0
"Davenport-Moline-Rock Island, IA-IL","=""19340""","175,715","4,925","31,041","73,140,224","29,063","37,198,064","20,960","26,544,755","7,635","11,224","16,616","142,269","368,590,428","26,241","111,975,113","121,318",0,"24,145","74,847","96,222","4,479","113,692","37,797","24,044","1,669","37,020","13,339","13,910","14,281","13,455","11,894","10,768","9,192","7,808","13,149","11,366","14,314","17,388","24,162","31,041",450,"31,041","73,140,224","6,974","1,885,334","11,381","25,472,064","8,065","28,663,172","4,105","16,150,185","8,525","6,142,891","18,673","23,295,229","1,660","1,239","1,819","30,277","129,779,237",612,"645,899","27,627",0,"11,737","15,340","14,396","1,086","13,788","14,446","2,516","4,938","2,912","5,080","6,150","4,048","3,359","2,810","2,261","1,567","1,302",0
"Dayton, OH","=""19380""","360,241","10,849","68,744","164,695,202","54,636","69,091,004","44,988","57,132,546","11,949","25,994","30,803","291,187","733,738,801","54,688","189,634,900","234,806",449,"57,452","193,345","151,947","14,846","241,336","71,986","46,412","1,440","71,783","30,182","29,777","32,251","28,638","24,847","22,261","20,012","17,660","29,567","23,926","27,582","31,423","41,380","68,744",858,"68,744","164,695,202","16,340","4,434,726","25,496","58,390,532","17,931","66,058,295","8,724","35,293,105","16,712","12,282,460","40,750","51,192,099","3,195","3,651","3,890","66,965","281,646,600","1,710","1,453,176","60,017",313,"27,486","40,701","25,361","2,476","35,736","27,345","5,511","13,408","6,848","11,994","15,527","9,094","6,848","6,029","5,139","3,579","2,948",12
"Decatur, AL","=""19460""","61,171","1,894","14,843","37,784,419","10,988","12,977,730","11,484","17,264,984","2,432","4,089","2,991","50,737","141,186,712","8,316","26,302,977","42,364",18,"13,556","19,975","39,766","1,404","42,556","11,700","6,907","1,984","14,645","4,318","5,375","6,254","5,458","4,873","3,842","3,457","2,865","4,604","3,764","4,453","5,319","6,568","14,843",176,"14,843","37,784,419","3,065","855,343","5,919","14,133,730","4,244","16,109,371","1,543","6,579,149","3,418","2,450,192","9,046","11,147,624",701,679,395,"14,385","61,276,252",437,"341,998","13,157",16,"7,634","4,376","10,125",279,"8,998","4,885",948,"3,807","1,108","2,484","3,432","2,215","1,631","1,321","1,084",780,633,0
"Decatur, IL","=""19500""","47,165","1,243","10,222","26,134,570","7,078","8,637,172","6,849","8,408,438","1,691","2,446","3,236","38,175","100,212,999","6,855","32,976,451","32,688",0,"8,267","20,162","25,532","1,426","31,813","9,449","5,879",183,"10,069","3,827","4,110","4,505","3,995","3,321","2,734","2,376","1,990","3,463","2,883","3,693","4,247","5,735","10,222",168,"10,222","26,134,570","2,068","564,639","3,817","8,817,682","2,920","10,950,740","1,334","5,600,818","2,448","1,740,598","6,440","7,853,930",470,305,342,"10,050","42,965,253",142,"113,452","9,269",0,"4,903","4,876","4,958",343,"5,413","4,065",664,"1,961",928,"1,782","2,286","1,467","1,163",835,667,373,305,0
"Deltona-Daytona Beach-Ormond Beach, FL","=""19660""","258,332","6,851","58,260","136,412,562","31,194","35,158,712","35,970","46,469,551","9,688","14,941","15,556","201,045","511,841,743","39,940","145,045,687","164,973",0,"35,688","129,062","116,670","12,516","160,196","61,836","36,127","1,786","62,233","23,451","23,790","27,375","24,422","20,676","17,358","14,414","12,150","19,884","15,406","17,415","18,686","22,778","58,260",726,"58,260","136,412,562","16,156","4,469,212","21,283","50,370,908","14,350","54,415,583","6,246","26,633,914","12,265","8,581,840","32,434","40,988,244","3,648","2,712","2,719","55,944","226,009,957","2,236","1,718,336","49,604",0,"19,630","31,109","25,209","1,818","29,368","22,907","5,857","16,148","5,918","10,398","13,562","8,141","5,981","4,835","3,935","2,742","2,190",0
"Denver-Aurora-Lakewood, CO","=""19740""","1,178,743","39,465","176,428","387,200,514","191,813","237,635,813","139,505","202,818,100","54,475","87,470","133,261","899,319","2,253,430,944","233,463","1,102,041,157","730,366",0,"162,409","613,311","541,679","23,540","804,194","219,823","153,747","44,972","310,452","82,082","78,981","81,718","79,329","74,701","69,499","64,214","58,216","97,030","77,716","92,315","109,964","212,025","176,428","4,660","176,428","387,200,514","47,005","12,996,840","61,906","135,021,467","43,196","148,544,152","23,220","88,969,983","51,131","38,796,344","100,524","131,282,742","9,069","8,903","11,426","168,130","649,093,529","8,048","7,695,347","143,795",0,"60,525","82,363","87,422","6,256","95,099","66,341","14,648","42,613","17,425","29,663","34,834","20,368","17,948","17,559","15,901","11,587","8,884",131
"Des Moines-West Des Moines, IA","=""19780""","269,925","8,510","37,938","84,454,224","50,543","67,351,850","27,715","37,140,559","18,723","19,699","39,765","212,454","543,672,237","47,574","199,190,417","178,528",0,"36,653","115,406","146,674","7,662","193,239","43,689","32,730","3,990","65,018","18,644","18,305","17,427","16,607","16,007","15,830","14,738","13,148","22,202","18,027","21,821","28,312","47,953","37,938",694,"37,938","84,454,224","8,890","2,469,199","13,502","28,540,055","9,468","31,288,160","5,630","21,159,224","11,498","8,731,712","22,572","29,451,318","2,947","1,724","3,174","36,605","154,323,549","1,163","1,269,058","32,200",0,"14,481","16,023","19,551","2,081","20,510","14,330","2,761","7,406","3,498","5,819","6,826","4,228","3,927","4,022","3,472","2,476","2,102",0
"Detroit-Warren-Dearborn, MI","=""19820""","1,918,030","67,089","368,190","933,046,597","258,739","322,989,800","238,757","312,021,207","67,685","160,374","146,067","1,507,744","3,989,219,956","292,978","1,173,484,871","1,170,200",38,"312,303","796,056","1,086,201","35,500","1,339,675","343,400","230,957","16,099","433,747","197,224","176,782","185,524","147,498","119,159","103,299","89,990","79,563","130,656","107,188","133,478","165,139","281,265","368,190","7,808","368,190","933,046,597","88,248","24,018,239","135,082","324,238,311","93,929","364,262,596","50,159","219,178,641","72,777","51,653,278","216,314","277,002,454","14,924","24,619","16,914","354,846","1,442,083,193","12,949","10,820,255","303,755",0,"163,792","148,403","212,499","6,765","221,749","120,948","25,126","116,439","32,865","69,775","94,150","51,585","34,692","29,193","24,254","16,778","13,184",27
"Dothan, AL","=""20020""","57,152","1,613","16,993","46,824,522","9,249","10,558,471","11,612","15,052,347","2,600","3,315","2,743","47,217","140,630,376","7,529","39,868,357","39,636",0,"15,797","22,194","33,682","1,242","36,936","13,564","6,648",614,"13,846","4,411","5,555","6,626","5,931","4,676","3,950","3,156","2,599","3,904","3,030","3,551","4,169","5,466","16,993",140,"16,993","46,824,522","3,063","879,464","6,732","16,491,315","5,255","20,921,338","1,857","8,375,696","3,650","2,518,601","10,524","13,064,266",733,549,360,"16,703","74,236,307",221,"226,528","15,458",0,"9,960","6,304","10,342",272,"9,531","6,407","1,029","3,671","1,140","2,902","4,236","2,840","1,760","1,472","1,133",679,516,0
"Dover, DE","=""20100""","72,450","2,480","15,426","36,846,388","12,760","15,454,623","10,638","13,445,899","4,087","5,565","5,141","59,773","156,550,146","10,377","30,523,625","48,849",59,"13,910","37,171","30,930","4,337","44,692","17,303","10,428",337,"12,885","5,144","5,946","6,303","5,966","5,515","4,788","4,192","3,652","5,855","4,736","5,585","6,712","7,859","15,426",257,"15,426","36,846,388","3,124","870,930","6,108","13,707,947","4,100","14,434,815","2,019","7,713,033","4,412","3,133,887","9,717","12,213,831","1,263",855,678,"15,096","66,135,838",313,"300,081","13,670",59,"6,629","8,562","5,611","1,205","6,918","7,290","1,185","2,140","1,247","2,441","3,028","2,031","1,829","1,627","1,320",956,683,14
"Dubuque, IA","=""20220""","44,822","1,369","6,371","13,537,030","7,489","10,810,368","4,172","5,434,706","2,847","3,534","5,774","35,859","87,083,206","6,938","24,317,282","28,783",0,"4,032","13,948","28,838","2,023","33,890","6,307","4,579",208,"11,360","3,673","3,838","3,493","3,133","2,925","2,787","2,472","2,144","3,400","3,003","3,693","4,876","5,315","6,371",50,"6,371","13,537,030","1,718","467,574","2,248","4,835,087","1,499","5,106,395",797,"2,948,841","1,591","1,212,918","3,417","4,301,987",492,303,580,"6,122","24,759,076",188,"209,943","5,387",0,"1,846","2,141","3,585",581,"3,960","1,956",383,"1,357",755,"1,067","1,245",681,595,547,477,349,307,0
"Duluth, MN-WI","=""20260""","121,965","3,256","18,801","36,557,996","17,732","24,208,958","10,534","12,977,402","5,598","8,438","14,707","98,054","220,729,190","18,477","50,586,777","74,542",0,"14,670","59,150","55,927","6,756","81,137","24,039","16,538",33,"24,271","10,210","10,160","9,922","9,121","8,241","7,349","6,301","5,442","9,354","8,039","9,964","12,673","14,399","18,801",79,"18,801","36,557,996","5,805","1,550,952","6,387","13,676,970","4,027","13,445,831","1,918","6,945,848","4,646","3,438,119","9,437","11,480,127","1,127",733,"1,678","18,094","63,248,692",516,"558,649","15,081",0,"6,186","9,791","7,066","1,706","9,371","7,393","1,767","3,103","2,543","3,411","3,778","1,904","1,600","1,426","1,231",833,721,0
"Durham-Chapel Hill, NC","=""20500""","219,661","7,768","41,612","98,500,237","33,747","36,637,086","36,123","54,105,534","12,350","16,867","20,908","168,070","441,187,745","41,708","188,019,755","135,304",41,"39,901","111,949","96,992","10,697","152,160","44,087","21,738","13,060","56,649","16,965","16,660","17,989","16,497","15,348","14,868","12,983","10,458","16,459","12,668","14,422","17,968","36,101","41,612","1,231","41,612","98,500,237","9,885","2,728,800","16,298","37,635,980","10,956","40,541,197","4,308","17,345,526","9,945","7,017,244","24,272","30,514,088","3,004","2,371","2,029","40,306","161,481,977","1,256","1,081,268","35,928",12,"19,981","19,249","19,849","2,417","21,852","16,831","2,817","9,135","3,855","7,487","9,050","5,484","4,190","4,033","3,480","2,223","1,368",0
"East Stroudsburg, PA","=""20700""","71,324","2,491","12,566","27,576,498","10,724","13,416,738","7,713","9,526,736","2,647","5,490","6,116","58,335","155,696,739","9,433","29,877,548","45,090",0,"11,188","28,228","42,193",842,"48,125","12,925","10,226",144,"13,277","7,452","6,314","5,922","5,117","4,655","3,909","3,351","3,073","5,071","4,454","5,640","6,949","9,192","12,566",176,"12,566","27,576,498","3,221","874,112","4,421","9,690,750","3,147","10,888,341","1,553","5,782,764","2,858","2,049,855","6,806","8,392,773",671,729,743,"12,069","48,795,578",411,"446,693","10,327",0,"4,803","5,252","7,145",99,"6,883","4,452","1,143","2,738","1,294","2,155","2,579","1,540","1,203","1,106",922,659,606,0
