"metro","cbsa","TReturns13","tnew13","eitc13","eitcamt13","tchildret_13","tchildamt_13","taddchildret_13","taddchildamt_13","ttf2441_13","ttedcr_13","ttsld_13","trefund13","TREFAM13","ttbal13","ttsumbal13","ttdirdep_13","ttral_13","ttrac_13","ttself13","ttpaid13","TTtotvol13","TT1040_13","TT1040A_13","TT1040ez_13","ITIN13","ttcef13","yr13ttagi_0","yr13ttagi_5","yr13ttagi_10","yr13ttagi_15","yr13ttagi_20","yr13ttagi_25","yr13ttagi_30","yr13ttagi_35","yr13ttagi_40","yr13ttagi_50","yr13ttagi_60","yr13ttagi_75","yr13ttagi_1x","ERETURN13","ENEW13","EEIC13","EEICAM13","EQC0_13","EQC0AMT_13","EQC1_13","EQC1AMT_13","EQC2_13","EQC2AMT_13","EQC3_13","EQC3AMT_13","ECTC13","ECTCAM13","EACTC13","EACTCAM13","ECDCTC13","EEDCR13","ESLD13","EREF13","EREFAM13","EBAL13","EBALAM13","EDIRDP13","ERAL13","ERAC13","ESELF13","EPAID13","EVOL13","E1040_13","E1040A_13","E1040Z_13","ECEF13","EAGI0_13","EAGI5_13","EAGI10_13","EAGI15_13","EAGI20_13","EAGI25_13","EAGI30_13","EAGI35_13","EAGI40_13","EAGI50_13"
"Oshkosh-Neenah, WI","=""36780""","79,220","2,187","10,710","21,021,216","12,750","17,400,988","6,467","8,188,849","2,933","6,269","8,108","62,740","138,999,564","12,374","41,926,868","48,166",17,"7,813","38,050","38,627","2,503","55,365","13,266","10,552",468,"14,650","6,716","6,474","6,183","5,452","4,985","4,575","4,160","3,681","6,521","5,477","6,788","8,123","9,881","10,710",112,"10,710","21,021,216","3,170","833,194","3,861","8,159,913","2,295","7,374,685","1,269","4,458,466","2,938","2,286,003","5,487","6,731,995",500,550,810,"10,348","37,586,907",338,"307,618","8,830",15,"2,999","5,569","4,551",520,"5,695","3,982",956,"1,669","1,200","1,894","2,097","1,152","1,088",945,853,641,653,1
"Owensboro, KY","=""36980""","49,817","1,478","10,235","23,469,493","9,137","12,132,723","6,974","9,194,275","2,233","2,939","3,707","40,647","104,771,886","7,192","31,591,846","32,614",0,"8,236","18,417","28,227","3,152","33,088","10,316","6,382",523,"11,081","4,176","4,466","4,509","4,048","3,706","3,113","2,778","2,195","3,731","3,190","4,000","4,842","4,908","10,235",94,"10,235","23,469,493","2,436","681,761","3,667","8,075,810","2,520","8,683,049","1,533","5,913,628","2,575","1,936,227","5,885","7,363,968",460,277,553,"9,952","41,630,236",246,"236,461","8,743",0,"4,085","3,817","5,275","1,094","5,410","4,037",740,"1,487","1,101","1,774","2,035","1,267","1,080",910,811,548,523,0
"Oxnard-Thousand Oaks-Ventura, CA","=""37100""","350,211","13,008","53,720","118,707,549","62,863","71,010,195","57,427","94,141,425","14,328","26,303","19,503","261,593","709,472,440","70,320","332,454,363","183,159",0,"34,268","115,091","228,840","6,201","228,576","80,799","40,678","33,190","91,246","24,803","25,418","26,353","26,053","25,338","22,310","18,320","15,423","24,993","20,096","24,291","30,677","65,983","53,720","1,417","53,720","118,707,549","13,321","3,733,100","19,712","43,435,602","13,297","45,128,206","7,009","25,954,304","15,711","11,512,680","30,477","38,909,279","2,426","2,680","1,880","50,349","192,144,484","3,269","3,108,902","37,083",0,"12,230","15,863","36,493","1,250","26,491","23,151","3,972","13,194","4,673","8,591","10,113","6,662","5,839","5,301","4,964","3,768","3,145",77
"Palm Bay-Melbourne-Titusville, FL","=""37340""","242,636","6,265","48,723","112,373,406","30,036","35,477,405","29,103","36,402,665","8,772","15,303","15,435","188,186","483,532,954","40,587","151,290,692","155,293",94,"31,073","133,878","102,359","6,327","152,203","56,377","33,873",958,"56,802","20,642","20,498","23,265","20,712","17,826","15,002","12,592","10,847","17,594","14,372","17,207","20,818","30,955","48,723",581,"48,723","112,373,406","13,451","3,729,807","18,042","42,479,744","11,750","44,050,570","5,135","21,456,877","10,403","7,494,313","26,609","33,266,472","2,884","2,291","2,534","46,918","187,924,912","1,739","1,434,809","41,780",52,"16,713","27,287","20,417",923,"24,707","18,897","4,983","12,823","4,966","8,780","11,314","6,646","4,937","3,916","3,266","2,343","1,925",11
"Panama City, FL","=""37460""","81,833","2,461","20,303","47,968,178","12,349","14,057,782","12,860","15,957,654","3,362","4,424","3,939","66,775","172,113,310","11,880","47,160,823","56,276",291,"14,739","45,583","31,614","4,623","46,968","20,698","14,153",336,"17,225","6,680","7,450","8,316","7,804","6,891","5,661","4,887","3,902","5,970","4,631","5,487","6,316","7,705","20,303",235,"20,303","47,968,178","5,015","1,411,382","7,857","18,355,171","5,083","18,772,603","2,157","8,950,244","5,126","3,633,170","11,961","14,765,140","1,242",599,578,"19,748","81,866,261",527,"406,649","17,802",232,"8,140","10,991","8,321",927,"9,749","8,491","2,008","4,042","1,935","3,677","4,473","2,782","2,047","1,745","1,525","1,011",800,0
"Parkersburg-Vienna, WV","=""37620""","39,590","1,115","8,720","19,304,403","5,764","7,065,816","5,112","6,202,915",915,"1,949","2,854","33,143","83,494,676","4,804","14,919,390","26,293",0,"7,181","21,255","16,697","1,612","23,168","10,253","6,159",0,"8,268","3,551","3,674","3,931","3,587","2,913","2,383","2,047","1,775","3,031","2,486","2,969","3,348","3,716","8,720",66,"8,720","19,304,403","2,429","674,716","3,173","7,178,038","2,006","7,074,021","1,072","4,258,295","1,978","1,483,842","4,819","5,840,137",193,228,401,"8,497","33,908,963",171,"213,412","7,377",0,"3,697","4,909","3,389",370,"3,901","3,840",942,"1,273","1,013","1,616","1,844","1,167",761,650,550,435,414,0
"Pensacola-Ferry Pass-Brent, FL","=""37860""","192,805","6,160","44,775","110,635,337","29,530","35,140,799","29,850","38,568,114","8,244","12,169","11,434","156,633","412,788,345","28,967","100,243,276","134,576",110,"32,429","111,167","74,499","7,105","113,556","48,839","30,361",675,"41,379","14,212","17,209","19,145","17,772","15,194","12,589","10,833","9,311","14,707","11,618","13,906","16,017","20,070","44,775",559,"44,775","110,635,337","10,125","2,812,967","16,819","39,067,808","12,158","45,592,341","5,495","22,793,728","10,942","7,815,256","27,375","34,998,971","2,774","1,702","1,804","43,542","185,045,129","1,183","925,658","39,686",28,"17,689","26,019","17,458","1,195","21,901","18,758","4,033","9,576","3,885","7,735","9,919","6,413","4,839","3,784","3,371","2,339","2,042",16
"Peoria, IL","=""37900""","172,769","4,552","29,354","69,321,070","27,871","36,691,247","19,596","24,552,136","6,498","10,887","14,124","140,255","385,809,784","24,801","129,503,463","115,553",11,"27,183","81,670","87,743","3,145","116,800","32,415","23,258","1,042","37,266","13,906","13,823","14,030","12,525","11,025","9,579","8,582","7,409","12,681","10,699","13,402","16,848","27,558","29,354",322,"29,354","69,321,070","6,496","1,763,779","10,871","24,536,400","7,820","27,905,417","3,704","14,300,454","7,908","5,846,950","17,540","21,562,007","1,333","1,053","1,301","28,698","123,715,948",498,"566,183","26,089",0,"13,460","15,104","13,458",608,"14,791","11,957","2,366","4,525","2,714","4,959","6,116","3,810","3,184","2,481","2,006","1,446","1,282",0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","=""37980""","2,653,990","85,905","441,636","1,012,244,577","386,793","460,654,701","299,923","375,523,299","140,495","204,544","268,561","2,109,619","5,948,808,058","418,559","2,140,946,683","1,608,690",226,"386,912","1,235,114","1,355,635","62,662","1,829,380","491,076","328,626","27,857","532,634","234,511","204,107","197,221","175,539","154,810","144,164","131,540","117,918","199,779","163,804","195,047","240,205","490,030","441,636","12,315","441,636","1,012,244,577","103,840","28,958,875","167,536","373,548,828","117,090","411,092,510","50,503","195,086,850","112,978","79,664,602","259,588","316,608,138","33,888","27,456","26,022","426,213","1,789,636,376","14,876","13,324,476","367,743",71,"176,607","205,189","220,902","14,161","230,859","174,768","34,924","83,094","43,162","77,399","90,123","57,741","46,588","43,478","37,799","25,224","15,918",34
"Phoenix-Mesa-Scottsdale, AZ","=""38060""","1,676,450","67,923","344,881","871,372,643","301,841","364,967,609","292,723","438,013,446","71,811","134,613","144,014","1,277,741","3,425,206,965","320,950","1,270,006,829","1,047,915",42,"294,893","804,633","829,272","42,360","1,135,982","341,167","196,844","73,442","382,003","112,757","125,775","142,940","138,053","126,170","111,703","101,463","87,198","135,453","103,751","121,536","141,231","227,369","344,881","12,508","344,881","871,372,643","66,601","18,612,694","123,801","278,933,740","94,426","338,945,492","58,838","233,080,965","102,090","75,446,203","222,978","304,348,509","19,348","17,782","18,111","333,076","1,411,353,041","11,420","10,437,024","292,900",11,"143,798","157,994","178,565","7,779","189,737","133,838","20,774","77,328","26,187","50,493","67,550","48,012","40,016","36,468","31,952","23,140","18,039",433
